1	1	132	5	5	5	0	125	284	101	0.05	1.52	0	1
1	1	132	5	5	5	0	125	284	125	0.05	1.52	0	1
1	1	132	5	5	5	0	125	284	305	0.1	1.52	0	1
2	2	140	5	5	5	0	132	274	130	0.05	1	0	2
2	2	140	5	5	5	0	132	274	132	0.05	1	0	2
2	2	140	5	5	5	0	132	274	305	0.05	1	0	2
3	1	125	5	5	5	0	125	284	101	0.05	1.52	0	1
3	1	125	5	5	5	0	125	284	125	0.05	1.52	0	1
3	1	125	5	5	5	0	125	284	305	0.1	1.52	0	1
4	2	142	5	5	5	0	132	274	130	0.05	1	0	2
4	2	142	5	5	5	0	132	274	132	0.05	1	0	2
4	2	142	5	5	5	0	132	274	305	0.05	1	0	2
5	1	126	5	5	5	0	125	284	101	0.05	1.52	0	1
5	1	126	5	5	5	0	125	284	125	0.05	1.52	0	1
5	1	126	5	5	5	0	125	284	305	0.1	1.52	0	1
6	2	142	5	5	5	0	132	274	130	0.05	1	0	2
6	2	142	5	5	5	0	132	274	132	0.05	1	0	2
6	2	142	5	5	5	0	132	274	305	0.05	1	0	2
7	1	132	5	5	5	0	125	284	101	0.05	1.52	0	1
7	1	132	5	5	5	0	125	284	125	0.05	1.52	0	1
7	1	132	5	5	5	0	125	284	305	0.1	1.52	0	1
8	2	144	5	5	5	0	132	274	130	0.05	1	0	2
8	2	144	5	5	5	0	132	274	132	0.05	1	0	2
8	2	144	5	5	5	0	132	274	305	0.05	1	0	2
9	1	132	5	5	5	0	125	284	101	0.05	1.52	0	1
9	1	132	5	5	5	0	125	284	125	0.05	1.52	0	1
9	1	132	5	5	5	0	125	284	305	0.1	1.52	0	1
10	2	144	5	5	5	0	132	274	130	0.05	1	0	2
10	2	144	5	5	5	0	132	274	132	0.05	1	0	2
10	2	144	5	5	5	0	132	274	305	0.05	1	0	2
