1	2	131	5	5	5	0	125	280	124	0.15	1.2	0	1
1	2	131	5	5	5	0	125	280	125	0.05	1.2	0	1
1	4	0	0	0	0	0	0	0	0	0	0	1	0
2	2	131	5	5	5	0	125	280	124	0.15	1.2	0	2
2	2	131	5	5	5	0	125	280	125	0.05	1.2	0	2
2	4	0	0	0	0	0	0	0	0	0	0	1	0
3	3	129	5	5	5	0	137	287	122	0.15	1.2	0	1
3	3	129	5	5	5	0	137	287	137	0.05	1.2	0	1
3	4	0	0	0	0	0	0	0	0	0	0	1	0
4	2	131	5	5	5	0	125	280	124	0.15	1.2	0	2
4	2	131	5	5	5	0	125	280	125	0.05	1.2	0	2
4	4	0	0	0	0	0	0	0	0	0	0	1	0
5	2	132	5	5	5	0	125	280	124	0.15	1.2	0	1
5	2	132	5	5	5	0	125	280	125	0.05	1.2	0	1
5	4	0	0	0	0	0	0	0	0	0	0	1	0
6	3	130	5	5	5	0	137	287	122	0.15	1.2	0	2
6	3	130	5	5	5	0	137	287	137	0.05	1.2	0	2
6	4	0	0	0	0	0	0	0	0	0	0	1	0
7	2	131	5	5	5	0	125	280	124	0.15	1.2	0	1
7	2	131	5	5	5	0	125	280	125	0.05	1.2	0	1
7	4	0	0	0	0	0	0	0	0	0	0	1	0
8	2	127	5	5	5	0	125	280	124	0.15	1.2	0	2
8	2	127	5	5	5	0	125	280	125	0.05	1.2	0	2
8	4	0	0	0	0	0	0	0	0	0	0	1	0
9	3	130	5	5	5	0	137	287	122	0.15	1.2	0	1
9	3	130	5	5	5	0	137	287	137	0.05	1.2	0	1
9	4	0	0	0	0	0	0	0	0	0	0	1	0
10	2	131	5	5	5	0	125	280	124	0.15	1.2	0	2
10	2	131	5	5	5	0	125	280	125	0.05	1.2	0	2
10	4	0	0	0	0	0	0	0	0	0	0	1	0
