1	1	1	1
10	10	10	10
4	4	4	4
99	99	99	99
0	0	0	0
1.43	1.43	1.43	1.43
1.43	1.43	1.43	1.43
1.43	1.43	1.43	1.43
0	0	0	0
0.46	0.46	0.46	0.46
0.46	0.46	0.46	0.46
0.46	0.46	0.46	0.46
0	0	0	0
0.07	0.07	0.07	0.07
0.07	0.07	0.07	0.07
0.07	0.07	0.07	0.07
0	0	0	0
0.05	0.05	0.05	0.05
0.05	0.05	0.05	0.05
0.05	0.05	0.05	0.05
0	0	0	0
0.80	0.80	0.80	0.80
0.80	0.80	0.80	0.80
0.80	0.80	0.80	0.80
1	1	1	1
0	0	0	0
10000	10000	10000	10000
10000	10000	10000	10000
0	0	0	0
0	0	0	0
100	100	100	100
100	100	100	100
0	0	0	0
10	10	10	10
10	10	10	10
0	0	0	0
1	1	1	1
100.00	100.00	70.00	30.00
100.00	100.00	100.00	100.00
0	0	0	0
0.05	0.05	0.05	0.05
